filename,text,up_votes,down_votes,age,gender,accent,duration,pitch,intensity,spectral_centroid
cv-valid-test/sample-000003.mp3,down below in the darkness were hundreds of people sleeping in peace,4,0,twenties,male,us,,,,
cv-valid-test/sample-000005.mp3,down below in the darkness were hundreds of people sleeping in peace,4,1,twenties,male,us,,,,
cv-valid-test/sample-000008.mp3,this was the strangest of all things that ever came to earth from outer space,1,0,thirties,male,england,,,,
cv-valid-test/sample-000009.mp3,it was glaringly hot not a cloud in the sky nor a breath of wind,3,0,fifties,male,us,4.44,1800.5167236328125,0.03300345689058304,2492.985509309813
cv-valid-test/sample-000014.mp3,follow the instructions here,1,0,twenties,male,scotland,,,,
cv-valid-test/sample-000018.mp3,i'm going away he said,4,0,fourties,male,england,3.048,1841.0020751953125,0.020853295922279358,2856.6376606934296
cv-valid-test/sample-000022.mp3,some of the grey ash was falling off the circular edge,3,0,twenties,male,england,,,,
cv-valid-test/sample-000026.mp3,you'll take fifty and like it,1,0,fifties,male,england,,,,
cv-valid-test/sample-000031.mp3,if i had told you you wouldn't have seen the pyramids,2,0,twenties,male,african,4.128,1509.684326171875,0.22024813294410706,2958.7416800680876
cv-valid-test/sample-000033.mp3,i told him we could teach her to ignore people who waste her time,1,0,thirties,female,indian,4.776,1904.0841064453125,0.0010090901050716639,3801.447021818009
cv-valid-test/sample-000035.mp3,henderson stood up with a spade in his hand,1,0,teens,male,us,,,,
cv-valid-test/sample-000036.mp3,he didn't need to seek out the old woman for this,2,0,twenties,female,us,,,,
cv-valid-test/sample-000037.mp3,only a minority of literature is written this way,1,0,fourties,male,canada,,,,
cv-valid-test/sample-000038.mp3,i wish you wouldn't,2,0,thirties,male,us,,,,
cv-valid-test/sample-000041.mp3,don't do it for me,1,0,twenties,male,us,2.616,1929.7667236328125,0.02763747237622738,2479.040754498226
cv-valid-test/sample-000042.mp3,i'm not working for any other paper,1,0,twenties,male,england,,,,
cv-valid-test/sample-000043.mp3,that's not so bad,1,0,fourties,male,ireland,,,,
cv-valid-test/sample-000051.mp3,now i will drift gently off to dreamland,3,0,teens,female,us,,,,
cv-valid-test/sample-000052.mp3,he did find it soon after dawn and not far from the sand pits,3,0,thirties,male,canada,6.576,1276.031494140625,0.024084270000457764,3132.240015990185
cv-valid-test/sample-000055.mp3,shakespeare never said that,1,0,twenties,male,us,,,,
cv-valid-test/sample-000056.mp3,you need to see this,1,0,fourties,male,philippines,,,,
cv-valid-test/sample-000058.mp3,frank was dying so they were forced to leave him,1,0,fifties,male,us,,,,
cv-valid-test/sample-000060.mp3,the boy reminded the old man that he had said something about hidden treasure,1,0,fifties,male,us,5.328,1280.9552001953125,0.05689999833703041,2205.1701704691905
cv-valid-test/sample-000061.mp3,don't point the gun at me,1,0,twenties,female,indian,,,,
cv-valid-test/sample-000062.mp3,he's the man the ads are written for,1,0,thirties,male,england,,,,
cv-valid-test/sample-000063.mp3,there was no excuse for goodman to fly off the handle,1,0,thirties,male,england,,,,
cv-valid-test/sample-000065.mp3,i told you to have the ice box fixed,1,0,fifties,female,australia,4.104,1810.4395751953125,0.08952344208955765,2386.4545890950035
cv-valid-test/sample-000073.mp3,but finally the merchant appeared and asked the boy to shear four sheep,3,0,thirties,male,indian,,,,
cv-valid-test/sample-000080.mp3,most meteorites are more or less rounded,7,0,twenties,other,england,,,,
cv-valid-test/sample-000081.mp3,it's candice now on long distance from washington,1,0,seventies,male,canada,,,,
cv-valid-test/sample-000082.mp3,he could always go back to being a shepherd,1,0,sixties,female,england,,,,
cv-valid-test/sample-000084.mp3,do you know what,1,0,seventies,male,us,1.752,1918.2288818359375,0.006331327371299267,3970.405318476251
cv-valid-test/sample-000088.mp3,their faces were hidden behind blue veils with only their eyes showing,3,0,twenties,male,england,,,,
cv-valid-test/sample-000090.mp3,aren't you going to tell me,1,0,thirties,male,scotland,2.064,1835.716796875,0.05081769451498985,2549.8753633696783
cv-valid-test/sample-000095.mp3,he remembered something his grandfather had once told him that butterflies were a good omen,1,0,thirties,male,england,,,,
cv-valid-test/sample-000098.mp3,even then he hardly understood what this meant,2,0,thirties,male,us,3.024,1856.486572265625,0.06131256744265556,2388.560924855974
cv-valid-test/sample-000099.mp3,it looked like a rusty gas float,5,1,fifties,male,scotland,2.928,1945.7913818359375,0.010672728531062603,3194.228954774637
cv-valid-test/sample-000102.mp3,after the dictator's rule of fourty three years was over the country was devastated,1,0,fifties,female,indian,6.576,2059.42041015625,0.02397846058011055,3012.9211142273894
cv-valid-test/sample-000105.mp3,all they ever do really is look for food and water,1,0,twenties,male,england,3.864,1403.5704345703125,0.035092901438474655,2271.088275858726
cv-valid-test/sample-000106.mp3,sure you don't want me to go in with you,2,0,fourties,female,canada,,,,
cv-valid-test/sample-000107.mp3,i want it as soon as possible,3,0,thirties,male,us,,,,
cv-valid-test/sample-000111.mp3,modern sewing machines can throttle their speed,1,0,sixties,male,us,4.848,1363.716796875,0.054314885288476944,2611.3143698796403
cv-valid-test/sample-000112.mp3,it's as much my fault as yours,3,0,twenties,male,us,2.376,1619.52392578125,0.044437989592552185,2445.3935638172165
cv-valid-test/sample-000115.mp3,you don't deny that,1,0,fourties,female,us,2.304,1330.763427734375,0.029756801202893257,3744.1328329892694
cv-valid-test/sample-000117.mp3,then he sat in the sunfilled doorway smoking the hookah,1,0,thirties,female,us,,,,
cv-valid-test/sample-000118.mp3,about eleven i walked back to my home in maybury because nothing seemed to be happening,2,1,twenties,male,us,,,,
cv-valid-test/sample-000121.mp3,i can't let you have my plane,1,0,fifties,male,us,,,,
cv-valid-test/sample-000132.mp3,from here on you will be alone the alchemist said,2,0,thirties,male,canada,,,,
cv-valid-test/sample-000135.mp3,sometimes i get so mad at you i can't see straight,1,0,fifties,female,us,,,,
cv-valid-test/sample-000136.mp3,on our way to san francisco we were listening to reggae music and smoking weed,1,0,twenties,male,indian,,,,
cv-valid-test/sample-000137.mp3,work for somebody else,1,0,fifties,female,indian,,,,
cv-valid-test/sample-000138.mp3,many of our soldiers teamed up,1,0,thirties,male,us,3.624,1989.207275390625,0.039244964718818665,3178.973248482993
cv-valid-test/sample-000139.mp3,am i going to find my treasure he asked,6,0,fifties,male,us,3.984,1862.1732177734375,0.05005105584859848,3029.593791383082
cv-valid-test/sample-000144.mp3,this is no place for you,1,0,fourties,male,england,,,,
cv-valid-test/sample-000148.mp3,naturally we have to do something about it,3,0,teens,male,us,,,,
